#columns (so you dont have to count them when you plot!
#1=MJD
#2-4=nH, upper limit, lower limit
#5-7=Inner disk temperature, upper limit, lower limit
#8-10=Disk Normalisation, upper limit, lower limit
#11-13=PL index, upper limit, lower limit
#14-16=PL Normalisation, upper limit, lower limit
#17-19=Absorbed 0.6-10 keV flux, upper limit, lower limit
#20-22=Unabsorbed 0.6-10 keV flux, upper limit, lower limit (log10)
#23-25=0.6-10 keV flux of the PL component , upper limit, lower limit (log10)
#26=chi2
#27=degrees of freedom
#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	absflux(0.6-10keV)	absflux_UL	absflux_LL	unabsflux(0.6-10keV_log10)	unabsflux_UL	unabsflux_LL	PLflux(0.6-10keV_log10)	PLfl_UL	PLfl_LL	chi2	dof
53985.0050254	0.443992	0.5344	0.346984	0.134533	0.14792	0.124342	127565	307781	41769.3	1.72812	1.77245	1.68308	0.121616	0.129615	0.113871	6.17661e-10	6.19167e-10	6.05974e-10	-9.09441	-9.0574	-9.12743	-9.14474	-9.13534	-9.15427	479.395	538
54248.7123421	0.220869	0.241713	0.200433	NaN	NaN	NaN	NaN	NaN	NaN	1.53514	1.56523	1.50536	0.0957205	0.0992272	0.0923447	6.4297e-10	6.5017e-10	6.37184e-10	-9.15366	-9.14737	-9.16001	-9.15366	-9.14737	-9.16001	460.429	478
54256.6241773	0.196179	0.2168	0.175953	NaN	NaN	NaN	NaN	NaN	NaN	1.52495	1.5558	1.49443	0.0923585	0.0957827	0.0890635	6.33786e-10	6.40482e-10	6.27055e-10	-9.16389	-9.15748	-9.17037	-9.16389	-9.15748	-9.17037	430.361	469
54275.5773653	0.19343	0.213286	0.17393	NaN	NaN	NaN	NaN	NaN	NaN	1.57206	1.60224	1.54221	0.109817	0.113772	0.106009	7.10076e-10	7.17741e-10	7.0356e-10	-9.11296	-9.10676	-9.11922	-9.11296	-9.10676	-9.11922	422.866	473
54282.9318052	0.160773	0.180805	0.141105	NaN	NaN	NaN	NaN	NaN	NaN	1.57052	1.60169	1.53969	0.140363	0.145558	0.135363	9.20271e-10	9.2992e-10	9.12302e-10	-9.00559	-8.9991	-9.01216	-9.00559	-8.9991	-9.01216	476.772	457
54283.0639602	0.154849	0.172665	0.137308	NaN	NaN	NaN	NaN	NaN	NaN	1.5695	1.59753	1.54174	0.105304	0.10879	0.101935	6.92837e-10	6.99977e-10	6.86282e-10	-9.12988	-9.12408	-9.13574	-9.12988	-9.12408	-9.13574	516.587	502
54284.1340089	0.196274	0.213946	0.178881	NaN	NaN	NaN	NaN	NaN	NaN	1.587	1.61391	1.56033	0.110626	0.114174	0.107194	7.01189e-10	7.08147e-10	6.94744e-10	-9.11734	-9.11175	-9.12299	-9.11734	-9.11175	-9.12299	554.07	520
54289.816437	0.178692	0.197224	0.160466	NaN	NaN	NaN	NaN	NaN	NaN	1.5809	1.60942	1.55266	0.114304	0.118185	0.110558	7.34786e-10	7.40919e-10	7.28281e-10	-9.10005	-9.09412	-9.10604	-9.10005	-9.09412	-9.10604	519.972	490
54296.7898931	0.150483	0.170652	0.13068	NaN	NaN	NaN	NaN	NaN	NaN	1.57112	1.60254	1.54005	0.128223	0.133011	0.123615	8.43316e-10	8.52454e-10	8.34041e-10	-9.04519	-9.03855	-9.0519	-9.04519	-9.03855	-9.0519	444.564	452
54647.8947161	0.16728	0.183294	0.151507	NaN	NaN	NaN	NaN	NaN	NaN	1.58194	1.60722	1.55693	0.156467	0.161097	0.151987	1.00878e-09	1.01622e-09	1.00059e-09	-8.96422	-8.95911	-8.96937	-8.96422	-8.95911	-8.96937	526.525	536
54650.3591201	0.366773	0.461928	0.262085	0.137818	0.153819	0.126343	128423	340268	33158.9	1.66398	1.71079	1.61575	0.182425	0.195101	0.170008	1.02539e-09	1.03121e-09	1.00926e-09	-8.9003	-8.86616	-8.93085	-8.93817	-8.92932	-8.94748	494.215	533
54653.3140159	0.358227	0.434251	0.275728	0.159572	0.181204	0.146372	49756	127598	12916.8	1.65419	1.69043	1.61719	0.189376	0.199551	0.179388	1.08428e-09	1.08905e-09	1.06736e-09	-8.87965	-8.85369	-8.90372	-8.91719	-8.91017	-8.92434	569.006	621
