#MJD 15GHz 15GHz_err 1.7GHz 1.7GHz_err 1.4GHz 1.4GHz_err 4.8Ghz 4.8GHz_err 8.4GHz 8.4GHz_err 4.9GHz 4.9GHz_err 8.5GHz 8.5GHz_err
56495.8481077 6.43160915657e-06 0.000297655905628 nan nan nan nan nan nan nan nan nan nan nan nan
56503.8331887 8.34639760595e-05 0.000212931449323 nan nan nan nan nan nan nan nan nan nan nan nan
56516.761684 0.000221189266751 0.000122321772125 nan nan nan nan nan nan nan nan nan nan nan nan
56547.7899248 0.000642063455376 0.000454340974396 nan nan nan nan nan nan nan nan nan nan nan nan
56554.6703877 0.00033763289958 0.0001307658226 nan nan nan nan nan nan nan nan nan nan nan nan
56559.6615915 0.000401116372447 0.000151228583008 nan nan nan nan nan nan nan nan nan nan nan nan
56566.6784895 0.000355188893367 0.000141982823749 nan nan nan nan nan nan nan nan nan nan nan nan
56574.68989 3.93247167697e-05 0.000116530922874 nan nan nan nan nan nan nan nan nan nan nan nan
56579.5952025 0.000159482221824 0.000146756200088 nan nan nan nan nan nan nan nan nan nan nan nan
56591.5942998 0.000166889633993 0.000131417608636 nan nan nan nan nan nan nan nan nan nan nan nan
56606.493779 0.0002934363582 9.94908006676e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56625.4550637 0.000254825307394 0.000110846873362 nan nan nan nan nan nan nan nan nan nan nan nan
56637.4167535 0.000233509345134 0.000186872644688 nan nan nan nan nan nan nan nan nan nan nan nan
56645.4620892 0.000327267526514 9.81239849129e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56651.4200868 0.000271713817432 0.000115320919658 nan nan nan nan nan nan nan nan nan nan nan nan
56665.3867072 0.000187624544362 8.85563652287e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56672.3260475 0.000341462963384 0.000113363941528 nan nan nan nan nan nan nan nan nan nan nan nan
56678.2971933 0.000322448549828 0.000111959319458 nan nan nan nan nan nan nan nan nan nan nan nan
56688.2906655 0.000283841532461 0.000151414639669 nan nan nan nan nan nan nan nan nan nan nan nan
56692.3496933 0.000347847256134 8.7334078222e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56704.4118113 0.000291522724291 0.000143760506508 nan nan nan nan nan nan nan nan nan nan nan nan
56705.206846 0.000201423332921 0.000135952890053 nan nan nan nan nan nan nan nan nan nan nan nan
56708.170272 0.000183755696443 0.000107902757026 nan nan nan nan nan nan nan nan nan nan nan nan
56710.18489 0.000191750150169 0.000102596149982 nan nan nan nan nan nan nan nan nan nan nan nan
56713.3685358 0.000319794488046 0.000230093605608 nan nan nan nan nan nan nan nan nan nan nan nan
56714.1691145 0.000135251794425 9.72017124628e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56716.2633855 0.000125565724747 0.000156391191362 nan nan nan nan nan nan nan nan nan nan nan nan
56718.1595775 0.000193798527896 0.000109750988682 nan nan nan nan nan nan nan nan nan nan nan nan
56720.201221 0.000228136435402 0.000119660583204 nan nan nan nan nan nan nan nan nan nan nan nan
56723.2657465 0.000316992464263 0.000114425508872 nan nan nan nan nan nan nan nan nan nan nan nan
56725.2711863 0.000252258246005 0.000101730993744 nan nan nan nan nan nan nan nan nan nan nan nan
