#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	flux	flux_UL	flux_LL	chi2	dof
56709.7981183	0.316887	0.40385	0.235681	NaN	NaN	NaN	NaN	NaN	NaN	1.8154	1.93368	1.70202	0.0583268	0.0668701	0.050957	2.67029e-10	2.72506e-10	2.55881e-10	99.2151	86
56713.601179	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56714.1995609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56718.3358452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56721.004459	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56724.7943201	0.0393508	0.246176	0	NaN	NaN	NaN	NaN	NaN	NaN	1.28859	1.53939	1.14118	0.0293522	0.0396986	0.0246457	2.90223e-10	3.06787e-10	2.59079e-10	21.7436	22
56730.4012623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56733.8674263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56736.8648133	0.207235	0.31936	0.106775	NaN	NaN	NaN	NaN	NaN	NaN	1.5451	1.69763	1.39979	0.039776	0.0475976	0.0333385	2.64951e-10	2.7766e-10	2.51088e-10	54.4293	51
56738.6648803	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56742.5988383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56765.4117318	0.465702	0.609752	0.310319	0.119968	0.137295	0.107456	337298	1.21816e+06	63319.8	1.85839	1.93905	1.77615	0.11014	0.1231	0.0980436	4.77046e-10	4.78562e-10	4.59146e-10	317.593	318
56772.952211	0.164779	0.202432	0.128437	NaN	NaN	NaN	NaN	NaN	NaN	1.67459	1.73627	1.61429	0.0962044	0.103052	0.08984	5.54132e-10	5.61617e-10	5.43893e-10	171.9	234
56779.6140703	0.151931	0.180769	0.123857	NaN	NaN	NaN	NaN	NaN	NaN	1.75073	1.80088	1.70151	0.0956871	0.10103	0.0906445	5.06807e-10	5.14423e-10	4.97366e-10	269.283	289
56786.8657202	0.0709455	0.0930504	0.049268	NaN	NaN	NaN	NaN	NaN	NaN	1.77935	1.82201	1.7374	0.120517	0.126025	0.115262	6.44471e-10	6.54053e-10	6.35056e-10	322.672	328
56793.1346531	0.0928568	0.138173	0.0493797	NaN	NaN	NaN	NaN	NaN	NaN	1.71931	1.80224	1.63899	0.0994296	0.108591	0.0910791	5.61844e-10	5.75154e-10	5.473e-10	135.47	154
56797.4771182	0.116977	0.146513	0.0882527	NaN	NaN	NaN	NaN	NaN	NaN	1.72179	1.77481	1.66981	0.0960328	0.101655	0.0907389	5.34702e-10	5.40361e-10	5.25023e-10	239.902	273
56799.7279634	0.134008	0.17105	0.0982423	NaN	NaN	NaN	NaN	NaN	NaN	1.75636	1.82229	1.69205	0.0981486	0.105335	0.0914821	5.20958e-10	5.32248e-10	5.1143e-10	227.572	217
56803.732584	0.197205	0.228015	0.167289	NaN	NaN	NaN	NaN	NaN	NaN	1.76286	1.81516	1.71159	0.0968126	0.102482	0.0914796	4.95316e-10	5.03865e-10	4.87108e-10	296.44	280
56828.5413845	0.0822298	0.110896	0.0542975	NaN	NaN	NaN	NaN	NaN	NaN	1.8296	1.88659	1.77386	0.131487	0.139357	0.124087	6.61827e-10	6.73391e-10	6.51126e-10	238.967	249
56842.5168944	0.106394	0.153473	0.0613277	NaN	NaN	NaN	NaN	NaN	NaN	1.60749	1.68346	1.53353	0.0830776	0.0905097	0.0762882	5.31933e-10	5.4416e-10	5.19718e-10	156.062	168
56856.6634548	0.180407	0.217474	0.144644	NaN	NaN	NaN	NaN	NaN	NaN	1.64587	1.70566	1.58739	0.0728185	0.077864	0.0681208	4.31537e-10	4.40119e-10	4.22916e-10	234.016	239
56870.7799706	0.197384	0.238701	0.157548	NaN	NaN	NaN	NaN	NaN	NaN	1.63276	1.69791	1.56908	0.0628459	0.0676207	0.0584283	3.76021e-10	3.84076e-10	3.68046e-10	209.644	225
56884.3676347	0.166139	0.195244	0.137827	NaN	NaN	NaN	NaN	NaN	NaN	1.67545	1.72318	1.62854	0.0838933	0.0884883	0.0795522	4.82449e-10	4.90771e-10	4.76643e-10	330.245	303
56885.3114423	0.135548	0.156763	0.114738	NaN	NaN	NaN	NaN	NaN	NaN	1.64908	1.68467	1.61394	0.0789638	0.0821712	0.0758887	4.74855e-10	4.79901e-10	4.6959e-10	377.117	399
56908.0226224	0.1642	0.19848	0.131045	NaN	NaN	NaN	NaN	NaN	NaN	1.71385	1.7727	1.65633	0.108222	0.115382	0.101541	5.95048e-10	6.05735e-10	5.80525e-10	227.043	241
56907.0226206	0.151433	0.185605	0.11832	NaN	NaN	NaN	NaN	NaN	NaN	1.71503	1.77382	1.65748	0.105092	0.112041	0.0985979	5.80325e-10	5.92757e-10	5.67986e-10	238.912	250
56909.0886571	0.154169	0.189837	0.11966	NaN	NaN	NaN	NaN	NaN	NaN	1.80504	1.86876	1.74286	0.118459	0.126753	0.110747	5.8922e-10	6.00845e-10	5.819e-10	197.559	225
56910.0878469	0.165947	0.199954	0.132945	NaN	NaN	NaN	NaN	NaN	NaN	1.83288	1.8957	1.77149	0.129001	0.137723	0.120866	6.18368e-10	6.2849e-10	6.09175e-10	247.262	231
56911.0988195	0.114544	0.261089	0.0122153	0.403558	0.640412	0.197863	197.182	3522.39	43.4696	1.57834	1.78751	1.1314	0.0869963	0.11562	0.0398543	6.30606e-10	6.33433e-10	5.66571e-10	232.275	229
56912.3568474	0.121877	0.145602	0.0986636	NaN	NaN	NaN	NaN	NaN	NaN	1.8003	1.84337	1.75794	0.124723	0.130595	0.119132	6.34023e-10	6.42634e-10	6.25918e-10	321.444	322
56913.086458	0.109873	0.139488	0.0810733	NaN	NaN	NaN	NaN	NaN	NaN	1.70009	1.75309	1.64812	0.106914	0.113195	0.101003	6.12476e-10	6.22405e-10	6.01896e-10	289.145	273
56914.0862849	0.108194	0.151254	0.0668418	NaN	NaN	NaN	NaN	NaN	NaN	1.65306	1.72899	1.57919	0.0954618	0.103617	0.0879669	5.78303e-10	5.9162e-10	5.66263e-10	164.089	170
56916.0191917	0.0872855	0.298387	0	NaN	NaN	NaN	NaN	NaN	NaN	1.54278	1.83737	1.31756	0.0810676	0.113007	0.0628997	5.66392e-10	6.17036e-10	5.15922e-10	22.127	23
56917.0225001	0.146545	0.180428	0.113739	NaN	NaN	NaN	NaN	NaN	NaN	1.72388	1.78196	1.66705	0.0999857	0.106528	0.0938725	5.47673e-10	5.58776e-10	5.3723e-10	221.836	247
56918.1043145	0.163831	0.199936	0.128957	NaN	NaN	NaN	NaN	NaN	NaN	1.70413	1.76589	1.64378	0.096059	0.102747	0.0898333	5.34358e-10	5.45221e-10	5.25605e-10	238.399	228
56919.1041529	0.164641	0.202616	0.128	NaN	NaN	NaN	NaN	NaN	NaN	1.6735	1.7366	1.61185	0.0912265	0.0978185	0.0851086	5.26184e-10	5.362e-10	5.14023e-10	250.872	235
56920.1033589	0.132921	0.189598	0.0789708	NaN	NaN	NaN	NaN	NaN	NaN	1.64672	1.74185	1.55471	0.0696954	0.0773469	0.0628289	4.20785e-10	4.30895e-10	4.08186e-10	118.755	122
56921.0907613	0.1408	0.180661	0.10228	NaN	NaN	NaN	NaN	NaN	NaN	1.69213	1.76063	1.62526	0.0887213	0.0955552	0.0824005	5.05711e-10	5.15938e-10	4.96554e-10	210.33	212
56922.026189	0.139556	0.179263	0.101315	NaN	NaN	NaN	NaN	NaN	NaN	1.66818	1.73557	1.60236	0.0867315	0.0933668	0.0805909	5.08894e-10	5.17652e-10	5.01002e-10	187.186	209
56923.101546	0.118396	0.152839	0.0850889	NaN	NaN	NaN	NaN	NaN	NaN	1.66141	1.72103	1.60308	0.0919884	0.0981791	0.0862094	5.49232e-10	5.59768e-10	5.3781e-10	248.852	232
56924.1008358	0.12714	0.162	0.0934075	NaN	NaN	NaN	NaN	NaN	NaN	1.70192	1.763	1.64219	0.0990193	0.105805	0.0926933	5.61451e-10	5.68292e-10	5.49345e-10	263.601	234
56925.0128496	0.159175	0.197114	0.12253	NaN	NaN	NaN	NaN	NaN	NaN	1.67468	1.73701	1.61369	0.0998706	0.107014	0.0932333	5.76554e-10	5.88659e-10	5.69685e-10	257.729	236
56927.0116617	0.188395	0.224762	0.153247	NaN	NaN	NaN	NaN	NaN	NaN	1.72167	1.78202	1.66263	0.106058	0.113336	0.0992801	5.71748e-10	5.82362e-10	5.62088e-10	246.391	247
56926.0135876	0.185761	0.229384	0.143781	NaN	NaN	NaN	NaN	NaN	NaN	1.70823	1.77981	1.63845	0.101002	0.109269	0.0933996	5.53891e-10	5.64065e-10	5.39302e-10	179.527	200
56928.0117127	0.143229	0.18212	0.105645	NaN	NaN	NaN	NaN	NaN	NaN	1.73941	1.80592	1.67447	0.103516	0.111258	0.0963404	5.5775e-10	5.66178e-10	5.45492e-10	220.005	217
56940.0137879	0.123292	0.163268	0.0847861	NaN	NaN	NaN	NaN	NaN	NaN	1.6814	1.75096	1.61362	0.121172	0.130684	0.112381	7.0503e-10	7.20694e-10	6.89976e-10	205.013	204
56752.018025	0.216796	0.241366	0.192802	NaN	NaN	NaN	NaN	NaN	NaN	1.64338	1.68096	1.6063	0.0635559	0.0663641	0.060876	3.72569e-10	3.76286e-10	3.6887e-10	371.773	390
