#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	flux	flux_UL	flux_LL	chi2	dof
53572.1262337	0.343312	0.466738	0.222927	0.174393	0.229847	0.14836	179254	859893	19216.4	1.82316	1.8976	1.7452	0.836512	0.927149	0.747202	4.03142e-09	4.04874e-09	3.85228e-09	301.3	354
53575.477361	0.331274	0.406086	0.254158	0.165497	0.190812	0.150059	188431	509143	49836.1	1.8291	1.86871	1.78699	0.74836	0.792839	0.704769	3.56016e-09	3.56583e-09	3.47288e-09	527.88	560
53587.0041804	0.39603	0.518166	0.263758	0.153277	0.185811	0.13568	235198	896128	32920.6	1.7865	1.85159	1.72069	0.473741	0.519027	0.431192	2.31237e-09	2.32686e-09	2.22537e-09	358.767	380
53605.3486725	0.172535	0.191963	0.153436	NaN	NaN	NaN	NaN	NaN	NaN	1.67053	1.70256	1.63888	0.224899	0.233175	0.216934	1.29756e-09	1.31009e-09	1.28412e-09	465.139	448
53609.417442	0.415272	0.491106	0.334479	0.138607	0.150446	0.129555	218391	473816	83621.3	1.75325	1.79035	1.71569	0.254978	0.268931	0.241414	1.27151e-09	1.277e-09	1.25317e-09	561.223	589
53620.5410546	0.196805	0.211805	0.181989	NaN	NaN	NaN	NaN	NaN	NaN	1.63889	1.66201	1.61595	0.180202	0.185146	0.175398	1.07028e-09	1.07803e-09	1.06284e-09	487.97	563
53624.4169675	0.192458	0.207785	0.177326	NaN	NaN	NaN	NaN	NaN	NaN	1.62967	1.65345	1.6061	0.148309	0.152481	0.144257	8.92431e-10	8.97622e-10	8.84373e-10	452	555
53632.9279111	0.204134	0.223485	0.185119	NaN	NaN	NaN	NaN	NaN	NaN	1.61442	1.64446	1.58469	0.12478	0.129195	0.120525	7.61917e-10	7.70104e-10	7.55288e-10	456.757	479
53638.2941824	0.532464	0.636466	0.421515	0.128151	0.140971	0.118325	244637	624422	77268.3	1.75755	1.80989	1.70436	0.131582	0.141798	0.121786	6.28049e-10	6.31381e-10	6.17087e-10	467.807	483
53639.4862379	0.247222	0.288935	0.207176	NaN	NaN	NaN	NaN	NaN	NaN	1.61804	1.67981	1.55762	0.109138	0.117234	0.101639	6.53313e-10	6.67386e-10	6.44417e-10	215.715	230
